3	1	5	6	4	0	2	3	5	1	9	3	0	
9	5	4	8	1	3	2	0	4	9	9	0	2	
4	2	8	0	8	1	3	6	8	8	6	2	1	
4	3	1	9	3	2	7	7	2	8	3	4	0	
7	6	0	9	8	6	2	6	8	2	0	1	0	
0	9	9	2	1	5	5	4	4	0	8	1	9	
0	1	2	7	4	1	5	4	1	3	2	5	1	
0	9	3	1	0	3	1	1	5	4	6	2	0	
2	4	8	6	4	0	7	8	7	1	0	4	7	
3	9	9	0	1	1	9	4	3	9	0	6	0	
7	2	8	2	2	1	6	2	7	2	2	4	1	
2	8	3	6	7	8	6	9	8	9	0	7	5	
5	9	5	1	1	5	5	0	7	7	1	5	9	
8	8	4	4	1	6	4	6	4	2	4	2	3	
4	1	3	3	7	9	2	4	2	6	9	8	6	
8	7	9	4	9	9	2	3	3	5	1	0	1	
7	4	7	0	7	1	1	2	6	0	3	1	5	
6	7	6	6	3	5	3	4	9	4	3	3	7	
8	8	0	8	1	8	4	8	8	1	1	1	4	
9	2	7	0	9	5	7	5	3	2	0	9	6	
